transaction_id,batch_id,customer_id,transaction_date,booking_date,value_date,amount,currency,direction,counterparty,reference,payment_reference,remittance_id,status
BANK-0001,BATCH-DEMO-001,CUST-001,2026-08-26,2026-08-26,2026-08-26,154960.00,INR,CREDIT,Acme Private Limited,PAY-0001 INV-2026-0001,PAY-0001,RMT-0001,UNPROCESSED
BANK-0002,BATCH-DEMO-001,CUST-002,2026-08-30,2026-08-30,2026-08-30,169780.00,INR,CREDIT,BluePeak Retail Limited,PAY-0002 INV-2026-0002,PAY-0002,RMT-0002,UNPROCESSED
BANK-0003,BATCH-DEMO-001,CUST-003,2026-08-24,2026-08-24,2026-08-24,226075.00,INR,CREDIT,Cedar Labs India Private Limited,PAY-0003 INV-2026-0003,PAY-0003,RMT-0003,UNPROCESSED
BANK-0004,BATCH-DEMO-001,CUST-004,2026-09-01,2026-09-01,2026-09-01,105185.00,INR,CREDIT,Delta Industrial Systems Limited,PAY-0004 INV-2026-0004,PAY-0004,RMT-0004,UNPROCESSED
BANK-0005,BATCH-DEMO-001,CUST-005,2026-08-23,2026-08-23,2026-08-23,199020.00,INR,CREDIT,Evergreen Foods Private Limited,PAY-0005 INV-2026-0005,PAY-0005,RMT-0005,UNPROCESSED
BANK-0006,BATCH-DEMO-001,CUST-006,2026-08-20,2026-08-20,2026-08-20,60655.00,INR,CREDIT,Falcon Mobility Limited,PAY-0006 INV-2026-0006,PAY-0006,RMT-0006,UNPROCESSED
BANK-0007,BATCH-DEMO-001,CUST-007,2026-08-27,2026-08-27,2026-08-27,134420.00,INR,CREDIT,Granite Works India Private Limited,PAY-0007 INV-2026-0007,PAY-0007,RMT-0007,UNPROCESSED
BANK-0008,BATCH-DEMO-001,CUST-008,2026-08-31,2026-08-31,2026-08-31,94270.00,INR,CREDIT,Harborline Logistics Limited,PAY-0008 INV-2026-0008,PAY-0008,RMT-0008,UNPROCESSED
BANK-0009,BATCH-DEMO-001,CUST-009,2026-08-30,2026-08-30,2026-08-30,126085.00,INR,CREDIT,Indigo Health Systems Private Limited,PAY-0009 INV-2026-0009,PAY-0009,RMT-0009,UNPROCESSED
BANK-0010,BATCH-DEMO-001,CUST-010,2026-09-01,2026-09-01,2026-09-01,86545.00,INR,CREDIT,Juniper Digital Commerce Limited,PAY-0010 INV-2026-0010,PAY-0010,RMT-0010,UNPROCESSED
BANK-0011,BATCH-DEMO-001,CUST-011,2026-08-29,2026-08-29,2026-08-29,147085.00,INR,CREDIT,Keystone Energy Services Limited,PAY-0011 INV-2026-0011,PAY-0011,RMT-0011,UNPROCESSED
BANK-0012,BATCH-DEMO-001,CUST-012,2026-08-28,2026-08-28,2026-08-28,128900.00,INR,CREDIT,Lotus Consumer Products Private Limited,PAY-0012 INV-2026-0012,PAY-0012,RMT-0012,UNPROCESSED
BANK-0013,BATCH-DEMO-001,CUST-013,2026-08-25,2026-08-25,2026-08-25,68215.00,INR,CREDIT,Meridian Analytics India Limited,PAY-0013 INV-2026-0013,PAY-0013,RMT-0013,UNPROCESSED
BANK-0014,BATCH-DEMO-001,CUST-014,2026-08-25,2026-08-25,2026-08-25,204315.00,INR,CREDIT,Northstar Components Private Limited,PAY-0014 INV-2026-0014,PAY-0014,RMT-0014,UNPROCESSED
BANK-0015,BATCH-DEMO-001,CUST-015,2026-08-28,2026-08-28,2026-08-28,159210.00,INR,CREDIT,Orchid Hospitality Services Limited,PAY-0015 INV-2026-0015,PAY-0015,RMT-0015,UNPROCESSED
