alias_id,organization_id,customer_id,alias,normalized_alias,approved
ALIAS-001,ORG-DEMO-001,CUST-001,ACME PVT,acme pvt,true
ALIAS-002,ORG-DEMO-001,CUST-002,BLUEPEAK RETAIL,bluepeak retail,true
ALIAS-003,ORG-DEMO-001,CUST-003,CEDAR LABS INDIA,cedar labs india,true
ALIAS-004,ORG-DEMO-001,CUST-004,DELTA INDUSTRIAL,delta industrial,true
ALIAS-005,ORG-DEMO-001,CUST-005,EVERGREEN FOODS,evergreen foods,true
ALIAS-006,ORG-DEMO-001,CUST-006,FALCON MOBILITY,falcon mobility,true
ALIAS-007,ORG-DEMO-001,CUST-007,GRANITE WORKS,granite works,true
ALIAS-008,ORG-DEMO-001,CUST-008,HARBORLINE LOGISTICS,harborline logistics,true
ALIAS-009,ORG-DEMO-001,CUST-009,INDIGO HEALTH,indigo health,true
ALIAS-010,ORG-DEMO-001,CUST-010,JUNIPER COMMERCE,juniper commerce,true
