invoice_id,batch_id,customer_id,invoice_number,invoice_date,issue_date,due_date,amount,original_amount,remaining_balance,open_amount,currency,status,payment_reference
INV-0001,BATCH-DEMO-001,CUST-001,INV-2026-0001,2026-06-24,2026-06-24,2026-07-24,154960.00,154960.00,154960.00,154960.00,INR,OPEN,PAY-0001
INV-0002,BATCH-DEMO-001,CUST-002,INV-2026-0002,2026-08-13,2026-08-13,2026-09-12,169780.00,169780.00,169780.00,169780.00,INR,OPEN,PAY-0002
INV-0003,BATCH-DEMO-001,CUST-003,INV-2026-0003,2026-06-29,2026-06-29,2026-07-29,226075.00,226075.00,226075.00,226075.00,INR,OPEN,PAY-0003
INV-0004,BATCH-DEMO-001,CUST-004,INV-2026-0004,2026-07-11,2026-07-11,2026-08-10,105185.00,105185.00,105185.00,105185.00,INR,OPEN,PAY-0004
INV-0005,BATCH-DEMO-001,CUST-005,INV-2026-0005,2026-07-27,2026-07-27,2026-08-26,199020.00,199020.00,199020.00,199020.00,INR,OPEN,PAY-0005
INV-0006,BATCH-DEMO-001,CUST-006,INV-2026-0006,2026-07-25,2026-07-25,2026-08-24,60655.00,60655.00,60655.00,60655.00,INR,OPEN,PAY-0006
INV-0007,BATCH-DEMO-001,CUST-007,INV-2026-0007,2026-06-22,2026-06-22,2026-07-22,134420.00,134420.00,134420.00,134420.00,INR,OPEN,PAY-0007
INV-0008,BATCH-DEMO-001,CUST-008,INV-2026-0008,2026-07-24,2026-07-24,2026-08-23,94270.00,94270.00,94270.00,94270.00,INR,OPEN,PAY-0008
INV-0009,BATCH-DEMO-001,CUST-009,INV-2026-0009,2026-08-08,2026-08-08,2026-09-07,126085.00,126085.00,126085.00,126085.00,INR,OPEN,PAY-0009
INV-0010,BATCH-DEMO-001,CUST-010,INV-2026-0010,2026-07-24,2026-07-24,2026-08-23,86545.00,86545.00,86545.00,86545.00,INR,OPEN,PAY-0010
INV-0011,BATCH-DEMO-001,CUST-011,INV-2026-0011,2026-07-08,2026-07-08,2026-08-07,147085.00,147085.00,147085.00,147085.00,INR,OPEN,PAY-0011
INV-0012,BATCH-DEMO-001,CUST-012,INV-2026-0012,2026-07-22,2026-07-22,2026-08-21,128900.00,128900.00,128900.00,128900.00,INR,OPEN,PAY-0012
INV-0013,BATCH-DEMO-001,CUST-013,INV-2026-0013,2026-07-06,2026-07-06,2026-08-05,68215.00,68215.00,68215.00,68215.00,INR,OPEN,PAY-0013
INV-0014,BATCH-DEMO-001,CUST-014,INV-2026-0014,2026-08-08,2026-08-08,2026-09-07,204315.00,204315.00,204315.00,204315.00,INR,OPEN,PAY-0014
INV-0015,BATCH-DEMO-001,CUST-015,INV-2026-0015,2026-07-01,2026-07-01,2026-07-31,159210.00,159210.00,159210.00,159210.00,INR,OPEN,PAY-0015
INV-0016,BATCH-DEMO-001,CUST-016,INV-2026-0016,2026-08-14,2026-08-14,2026-09-13,235785.00,235785.00,235785.00,235785.00,INR,OPEN,PAY-0016
INV-0017,BATCH-DEMO-001,CUST-017,INV-2026-0017,2026-08-10,2026-08-10,2026-09-09,188160.00,188160.00,188160.00,188160.00,INR,OPEN,PAY-0017
INV-0018,BATCH-DEMO-001,CUST-018,INV-2026-0018,2026-07-18,2026-07-18,2026-08-17,129345.00,129345.00,129345.00,129345.00,INR,OPEN,PAY-0018
INV-0019,BATCH-DEMO-001,CUST-019,INV-2026-0019,2026-07-06,2026-07-06,2026-08-05,6455.00,6455.00,6455.00,6455.00,INR,OPEN,PAY-0019
INV-0020,BATCH-DEMO-001,CUST-020,INV-2026-0020,2026-08-10,2026-08-10,2026-09-09,150740.00,150740.00,150740.00,150740.00,INR,OPEN,PAY-0020
INV-0021,BATCH-DEMO-001,CUST-001,INV-2026-0021,2026-07-01,2026-07-01,2026-07-31,5100.00,5100.00,5100.00,5100.00,INR,OPEN,PAY-0021
INV-0022,BATCH-DEMO-001,CUST-002,INV-2026-0022,2026-07-07,2026-07-07,2026-08-06,182340.00,182340.00,182340.00,182340.00,INR,OPEN,PAY-0022
INV-0023,BATCH-DEMO-001,CUST-003,INV-2026-0023,2026-06-20,2026-06-20,2026-07-20,183850.00,183850.00,183850.00,183850.00,INR,OPEN,PAY-0023
INV-0024,BATCH-DEMO-001,CUST-004,INV-2026-0024,2026-08-09,2026-08-09,2026-09-08,169825.00,169825.00,169825.00,169825.00,INR,OPEN,PAY-0024
INV-0025,BATCH-DEMO-001,CUST-005,INV-2026-0025,2026-07-21,2026-07-21,2026-08-20,150805.00,150805.00,150805.00,150805.00,INR,OPEN,PAY-0025
INV-0026,BATCH-DEMO-001,CUST-001,INV-2026-0026,2026-06-18,2026-06-18,2026-07-18,116910.00,116910.00,116910.00,116910.00,INR,OPEN,PAY-0026
INV-0027,BATCH-DEMO-001,CUST-002,INV-2026-0027,2026-07-05,2026-07-05,2026-08-04,91695.00,91695.00,91695.00,91695.00,INR,OPEN,PAY-0027
INV-0028,BATCH-DEMO-001,CUST-003,INV-2026-0028,2026-06-25,2026-06-25,2026-07-25,89335.00,89335.00,89335.00,89335.00,INR,OPEN,PAY-0028
INV-0029,BATCH-DEMO-001,CUST-004,INV-2026-0029,2026-07-02,2026-07-02,2026-08-01,139725.00,139725.00,139725.00,139725.00,INR,OPEN,PAY-0029
INV-0030,BATCH-DEMO-001,CUST-005,INV-2026-0030,2026-08-01,2026-08-01,2026-08-31,98820.00,98820.00,98820.00,98820.00,INR,OPEN,PAY-0030
INV-0031,BATCH-DEMO-001,CUST-006,INV-2026-0031,2026-08-07,2026-08-07,2026-09-06,97005.00,97005.00,97005.00,97005.00,INR,OPEN,PAY-0031
INV-0032,BATCH-DEMO-001,CUST-007,INV-2026-0032,2026-06-21,2026-06-21,2026-07-21,49870.00,49870.00,49870.00,49870.00,INR,OPEN,PAY-0032
INV-0033,BATCH-DEMO-001,CUST-008,INV-2026-0033,2026-08-08,2026-08-08,2026-09-07,134970.00,134970.00,134970.00,134970.00,INR,OPEN,PAY-0033
INV-0034,BATCH-DEMO-001,CUST-009,INV-2026-0034,2026-07-16,2026-07-16,2026-08-15,31785.00,31785.00,31785.00,31785.00,INR,OPEN,PAY-0034
INV-0035,BATCH-DEMO-001,CUST-010,INV-2026-0035,2026-08-13,2026-08-13,2026-09-12,140025.00,140025.00,140025.00,140025.00,INR,OPEN,PAY-0035
INV-0036,BATCH-DEMO-001,CUST-016,INV-2026-0036,2026-08-05,2026-08-05,2026-09-04,91005.00,91005.00,91005.00,91005.00,INR,OPEN,PAY-0036
INV-0037,BATCH-DEMO-001,CUST-017,INV-2026-0037,2026-06-28,2026-06-28,2026-07-28,145200.00,145200.00,145200.00,145200.00,INR,OPEN,PAY-0037
INV-0038,BATCH-DEMO-001,CUST-018,INV-2026-0038,2026-07-20,2026-07-20,2026-08-19,87495.00,87495.00,87495.00,87495.00,INR,OPEN,PAY-0038
INV-0039,BATCH-DEMO-001,CUST-019,INV-2026-0039,2026-07-29,2026-07-29,2026-08-28,248870.00,248870.00,248870.00,248870.00,INR,OPEN,PAY-0039
INV-0040,BATCH-DEMO-001,CUST-020,INV-2026-0040,2026-07-06,2026-07-06,2026-08-05,49045.00,49045.00,49045.00,49045.00,INR,OPEN,PAY-0040
INV-0041,BATCH-DEMO-001,CUST-001,INV-2026-0041,2026-06-19,2026-06-19,2026-07-19,128415.00,128415.00,128415.00,128415.00,INR,OPEN,PAY-0041
INV-0042,BATCH-DEMO-001,CUST-002,INV-2026-0042,2026-07-31,2026-07-31,2026-08-30,185580.00,185580.00,185580.00,185580.00,INR,OPEN,PAY-0042
INV-0043,BATCH-DEMO-001,CUST-003,INV-2026-0043,2026-07-04,2026-07-04,2026-08-03,72900.00,72900.00,72900.00,72900.00,INR,OPEN,PAY-0043
INV-0044,BATCH-DEMO-001,CUST-004,INV-2026-0044,2026-07-27,2026-07-27,2026-08-26,171950.00,171950.00,171950.00,171950.00,INR,OPEN,PAY-0044
INV-0045,BATCH-DEMO-001,CUST-005,INV-2026-0045,2026-07-04,2026-07-04,2026-08-03,153395.00,153395.00,153395.00,153395.00,INR,OPEN,PAY-0045
INV-0046,BATCH-DEMO-001,CUST-001,INV-2026-0046,2026-07-27,2026-07-27,2026-08-26,100600.00,100600.00,100600.00,100600.00,INR,OPEN,PAY-0046
INV-0047,BATCH-DEMO-001,CUST-001,INV-2026-0047,2026-07-01,2026-07-01,2026-07-31,116230.00,116230.00,116230.00,116230.00,INR,OPEN,PAY-0047
INV-0048,BATCH-DEMO-001,CUST-002,INV-2026-0048,2026-07-17,2026-07-17,2026-08-16,86250.00,86250.00,86250.00,86250.00,INR,OPEN,PAY-0048
INV-0049,BATCH-DEMO-001,CUST-002,INV-2026-0049,2026-06-19,2026-06-19,2026-07-19,206075.00,206075.00,206075.00,206075.00,INR,OPEN,PAY-0049
INV-0050,BATCH-DEMO-001,CUST-003,INV-2026-0050,2026-08-09,2026-08-09,2026-09-08,66610.00,66610.00,66610.00,66610.00,INR,OPEN,PAY-0050
INV-0051,BATCH-DEMO-001,CUST-003,INV-2026-0051,2026-07-26,2026-07-26,2026-08-25,97445.00,97445.00,97445.00,97445.00,INR,OPEN,PAY-0051
INV-0052,BATCH-DEMO-001,CUST-004,INV-2026-0052,2026-07-04,2026-07-04,2026-08-03,239435.00,239435.00,239435.00,239435.00,INR,OPEN,PAY-0052
INV-0053,BATCH-DEMO-001,CUST-004,INV-2026-0053,2026-07-02,2026-07-02,2026-08-01,163180.00,163180.00,163180.00,163180.00,INR,OPEN,PAY-0053
