entry_id,batch_id,entry_date,account_code,direction,amount,currency,reference,counterparty,transaction_id,status
LEDGER-0001,BATCH-DEMO-001,2026-08-26,1100-ACCOUNTS-RECEIVABLE,CREDIT,154960.00,INR,PAY-0001 INV-2026-0001,Acme Private Limited,BANK-0001,UNMATCHED
LEDGER-0002,BATCH-DEMO-001,2026-08-30,1100-ACCOUNTS-RECEIVABLE,CREDIT,169780.00,INR,PAY-0002 INV-2026-0002,BluePeak Retail Limited,BANK-0002,UNMATCHED
LEDGER-0003,BATCH-DEMO-001,2026-08-24,1100-ACCOUNTS-RECEIVABLE,CREDIT,226075.00,INR,PAY-0003 INV-2026-0003,Cedar Labs India Private Limited,BANK-0003,UNMATCHED
LEDGER-0004,BATCH-DEMO-001,2026-09-01,1100-ACCOUNTS-RECEIVABLE,CREDIT,105185.00,INR,PAY-0004 INV-2026-0004,Delta Industrial Systems Limited,BANK-0004,UNMATCHED
LEDGER-0005,BATCH-DEMO-001,2026-08-23,1100-ACCOUNTS-RECEIVABLE,CREDIT,199020.00,INR,PAY-0005 INV-2026-0005,Evergreen Foods Private Limited,BANK-0005,UNMATCHED
LEDGER-0006,BATCH-DEMO-001,2026-08-20,1100-ACCOUNTS-RECEIVABLE,CREDIT,60655.00,INR,PAY-0006 INV-2026-0006,Falcon Mobility Limited,BANK-0006,UNMATCHED
LEDGER-0007,BATCH-DEMO-001,2026-08-27,1100-ACCOUNTS-RECEIVABLE,CREDIT,134420.00,INR,PAY-0007 INV-2026-0007,Granite Works India Private Limited,BANK-0007,UNMATCHED
LEDGER-0008,BATCH-DEMO-001,2026-08-31,1100-ACCOUNTS-RECEIVABLE,CREDIT,94270.00,INR,PAY-0008 INV-2026-0008,Harborline Logistics Limited,BANK-0008,UNMATCHED
LEDGER-0009,BATCH-DEMO-001,2026-08-30,1100-ACCOUNTS-RECEIVABLE,CREDIT,126085.00,INR,PAY-0009 INV-2026-0009,Indigo Health Systems Private Limited,BANK-0009,UNMATCHED
LEDGER-0010,BATCH-DEMO-001,2026-09-01,1100-ACCOUNTS-RECEIVABLE,CREDIT,86545.00,INR,PAY-0010 INV-2026-0010,Juniper Digital Commerce Limited,BANK-0010,UNMATCHED
LEDGER-0011,BATCH-DEMO-001,2026-08-29,1100-ACCOUNTS-RECEIVABLE,CREDIT,147085.00,INR,PAY-0011 INV-2026-0011,Keystone Energy Services Limited,BANK-0011,UNMATCHED
LEDGER-0012,BATCH-DEMO-001,2026-08-28,1100-ACCOUNTS-RECEIVABLE,CREDIT,128900.00,INR,PAY-0012 INV-2026-0012,Lotus Consumer Products Private Limited,BANK-0012,UNMATCHED
LEDGER-0013,BATCH-DEMO-001,2026-08-25,1100-ACCOUNTS-RECEIVABLE,CREDIT,68215.00,INR,PAY-0013 INV-2026-0013,Meridian Analytics India Limited,BANK-0013,UNMATCHED
LEDGER-0014,BATCH-DEMO-001,2026-08-25,1100-ACCOUNTS-RECEIVABLE,CREDIT,204315.00,INR,PAY-0014 INV-2026-0014,Northstar Components Private Limited,BANK-0014,UNMATCHED
