date,currency,opening_cash,actual_inflows,actual_outflows,actual_closing_cash,is_shortfall
2026-09-02,INR,1650000.00,0.00,0.00,1650000.00,false
2026-09-03,INR,1650000.00,400000.00,0.00,2050000.00,false
2026-09-04,INR,2050000.00,0.00,180000.00,1870000.00,false
2026-09-05,INR,1870000.00,0.00,0.00,1870000.00,false
2026-09-06,INR,1870000.00,300000.00,0.00,2170000.00,false
2026-09-07,INR,2170000.00,0.00,0.00,2170000.00,false
2026-09-08,INR,2170000.00,0.00,120000.00,2050000.00,false
2026-09-09,INR,2050000.00,500000.00,0.00,2550000.00,false
2026-09-10,INR,2550000.00,0.00,0.00,2550000.00,false
2026-09-11,INR,2550000.00,0.00,300000.00,2250000.00,false
2026-09-12,INR,2250000.00,0.00,0.00,2250000.00,false
2026-09-13,INR,2250000.00,250000.00,0.00,2500000.00,false
2026-09-14,INR,2500000.00,0.00,0.00,2500000.00,false
2026-09-15,INR,2500000.00,0.00,250000.00,2250000.00,false
2026-09-16,INR,2250000.00,450000.00,0.00,2700000.00,false
2026-09-17,INR,2700000.00,0.00,0.00,2700000.00,false
2026-09-18,INR,2700000.00,0.00,0.00,2700000.00,false
2026-09-19,INR,2700000.00,0.00,3100000.00,-400000.00,true
2026-09-20,INR,-400000.00,0.00,0.00,-400000.00,true
2026-09-21,INR,-400000.00,0.00,220000.00,-620000.00,true
2026-09-22,INR,-620000.00,600000.00,0.00,-20000.00,true
2026-09-23,INR,-20000.00,0.00,0.00,-20000.00,true
2026-09-24,INR,-20000.00,0.00,0.00,-20000.00,true
2026-09-25,INR,-20000.00,200000.00,0.00,180000.00,false
2026-09-26,INR,180000.00,0.00,750000.00,-570000.00,true
2026-09-27,INR,-570000.00,0.00,0.00,-570000.00,true
2026-09-28,INR,-570000.00,0.00,90000.00,-660000.00,true
2026-09-29,INR,-660000.00,500000.00,0.00,-160000.00,true
2026-09-30,INR,-160000.00,0.00,0.00,-160000.00,true
2026-10-01,INR,-160000.00,0.00,250000.00,-410000.00,true
